date,ticker,ret
2014-12-01,PFE,0
2014-12-01,JNJ,-0.034
2014-12-01,MMM,0.0264
2014-12-01,MRK,-0.0523
2014-12-01,DIS,0.0306
2014-12-01,MCD,-0.0321
2014-12-01,JPM,0.0402
2014-12-01,WMT,-0.0135
2014-12-01,NKE,-0.0288
2014-12-01,AXP,0.0067
2014-12-01,INTC,-0.0258
2014-12-01,TRV,0.0187
2014-12-01,VZ,-0.0753
2014-12-01,HD,0.0608
2014-12-01,CSCO,0.0063
2014-12-01,GS,0.0288
2014-12-01,V,0.0155
2014-12-01,UNH,0.0287
2015-01-01,MSFT,-0.1302
2015-01-01,KO,-0.0249
2015-01-01,XOM,-0.0544
2015-01-01,IBM,-0.0444
2015-01-01,CVX,-0.086
2015-01-01,AAPL,0.0614
2015-01-01,UTX,-0.0019
2015-01-01,PG,-0.0676
2015-01-01,DOW,-0.0099
2015-01-01,CAT,-0.1187
2015-01-01,WBA,-0.0322
2015-01-01,BA,0.1184
2015-01-01,PFE,0.0032
2015-01-01,JNJ,-0.0424
2015-01-01,MMM,-0.0123
2015-01-01,MRK,0.0615
2015-01-01,DIS,-0.0343
2015-01-01,MCD,-0.0134
2015-01-01,JPM,-0.1246
2015-01-01,WMT,-0.0105
2015-01-01,NKE,-0.0406
2015-01-01,AXP,-0.1299
2015-01-01,INTC,-0.0896
2015-01-01,TRV,-0.0286
2015-01-01,VZ,-0.0111
2015-01-01,HD,-0.0052
2015-01-01,CSCO,-0.0453
2015-01-01,GS,-0.1105
2015-01-01,V,-0.0278
2015-01-01,UNH,0.051
2015-02-01,MSFT,0.0931
2015-02-01,KO,0.0517
2015-02-01,XOM,0.0207
2015-02-01,IBM,0.0635
2015-02-01,CVX,0.0509
2015-02-01,AAPL,0.1005
2015-02-01,UTX,0.0677
2015-02-01,PG,0.01
2015-02-01,DOW,0.0903
2015-02-01,CAT,0.0366
2015-02-01,WBA,0.1311
2015-02-01,BA,0.044
2015-02-01,PFE,0.1072
2015-02-01,JNJ,0.0307
2015-02-01,MMM,0.0454
2015-02-01,MRK,-0.0289
2015-02-01,DIS,0.1442
2015-02-01,MCD,0.0791
2015-02-01,JPM,0.1269
2015-02-01,WMT,-0.0124
2015-02-01,NKE,0.0558
2015-02-01,AXP,0.0112
2015-02-01,INTC,0.0136
2015-02-01,TRV,0.0449
2015-02-01,VZ,0.0818
2015-02-01,HD,0.0989
2015-02-01,CSCO,0.1193
2015-02-01,GS,0.1043
2015-02-01,V,0.0662
2015-02-01,UNH,0.0695
2015-03-01,MSFT,-0.0729
2015-03-01,KO,-0.0559
2015-03-01,XOM,-0.04
2015-03-01,IBM,-0.0089
2015-03-01,CVX,-0.0159
2015-03-01,AAPL,-0.0314
2015-03-01,UTX,-0.0386
2015-03-01,PG,-0.0375
2015-03-01,DOW,-0.0171
2015-03-01,CAT,-0.0346
2015-03-01,WBA,0.0193
2015-03-01,BA,-0.0051
2015-03-01,PFE,0.0137
2015-03-01,JNJ,-0.0186
2015-03-01,MMM,-0.0219
2015-03-01,MRK,-0.0104
2015-03-01,DIS,0.0078
2015-03-01,MCD,-0.0148
2015-03-01,JPM,-0.0114
2015-03-01,WMT,-0.0142
2015-03-01,NKE,0.0331
2015-03-01,AXP,-0.0393
2015-03-01,INTC,-0.0595
2015-03-01,TRV,0.0115
2015-03-01,VZ,-0.0166
2015-03-01,HD,-0.0048
2015-03-01,CSCO,-0.0601
2015-03-01,GS,-0.0096
2015-03-01,V,-0.0356
2015-03-01,UNH,0.0443
2015-04-01,MSFT,0.1964
2015-04-01,KO,0.0002
2015-04-01,XOM,0.0279
2015-04-01,IBM,0.0672
2015-04-01,CVX,0.0579
2015-04-01,AAPL,0.0058
2015-04-01,UTX,-0.0294
2015-04-01,PG,-0.0216
2015-04-01,DOW,0.0629
2015-04-01,CAT,0.0943
2015-04-01,WBA,-0.0207
2015-04-01,BA,-0.0449
2015-04-01,PFE,-0.0247
2015-04-01,JNJ,-0.0139
2015-04-01,MMM,-0.0519
2015-04-01,MRK,0.0362
2015-04-01,DIS,0.0365
2015-04-01,MCD,-0.0091
2015-04-01,JPM,0.0508
2015-04-01,WMT,-0.0511
2015-04-01,NKE,-0.0149
2015-04-01,AXP,-0.0086
2015-04-01,INTC,0.0409
2015-04-01,TRV,-0.0649
2015-04-01,VZ,0.0485
2015-04-01,HD,-0.0584
2015-04-01,CSCO,0.0474
2015-04-01,GS,0.045
2015-04-01,V,0.0098
2015-04-01,UNH,-0.0582
2015-05-01,MSFT,-0.0302
2015-05-01,KO,0.0099
2015-05-01,XOM,-0.0165
2015-05-01,IBM,-0.002
2015-05-01,CVX,-0.0629
2015-05-01,AAPL,0.0451
2015-05-01,UTX,0.0357
2015-05-01,PG,-0.0141
2015-05-01,DOW,0.021
2015-05-01,CAT,-0.018
2015-05-01,WBA,0.0392
2015-05-01,BA,-0.0133
2015-05-01,PFE,0.0324
2015-05-01,JNJ,0.017
2015-05-01,MMM,0.0238
2015-05-01,MRK,0.0223
2015-05-01,DIS,0.0152
2015-05-01,MCD,0.0024
2015-05-01,JPM,0.0398
2015-05-01,WMT,-0.0422
2015-05-01,NKE,0.0315
2015-05-01,AXP,0.0293
2015-05-01,INTC,0.0661
2015-05-01,TRV,0.0001
2015-05-01,VZ,-0.0198
2015-05-01,HD,0.0415
2015-05-01,CSCO,0.0166
2015-05-01,GS,0.053
2015-05-01,V,0.0416
2015-05-01,UNH,0.0791
2015-06-01,MSFT,-0.0578
2015-06-01,KO,-0.0342
2015-06-01,XOM,-0.0235
2015-06-01,IBM,-0.0412
2015-06-01,CVX,-0.0634
2015-06-01,AAPL,-0.0373
2015-06-01,UTX,-0.0533
2015-06-01,PG,-0.0019
2015-06-01,DOW,-0.0092
2015-06-01,CAT,-0.0059
2015-06-01,WBA,-0.0163
2015-06-01,BA,-0.0128
2015-06-01,PFE,-0.0351
2015-06-01,JNJ,-0.0268
2015-06-01,MMM,-0.03
2015-06-01,MRK,-0.0576
2015-06-01,DIS,0.0342
2015-06-01,MCD,-0.009
2015-06-01,JPM,0.0301
2015-06-01,WMT,-0.045
2015-06-01,NKE,0.0625
2015-06-01,AXP,-0.0215
2015-06-01,INTC,-0.1174
2015-06-01,TRV,-0.0381
2015-06-01,VZ,-0.0572
2015-06-01,HD,0.0027
2015-06-01,CSCO,-0.0631
2015-06-01,GS,0.0126
2015-06-01,V,-0.0223
2015-06-01,UNH,0.0191
2015-07-01,MSFT,0.0578
2015-07-01,KO,0.0472
2015-07-01,XOM,-0.048
2015-07-01,IBM,-0.0041
2015-07-01,CVX,-0.0828
2015-07-01,AAPL,-0.0329
2015-07-01,UTX,-0.0957
2015-07-01,PG,-0.0112
2015-07-01,DOW,-0.0803
2015-07-01,CAT,-0.0639
2015-07-01,WBA,0.1444
2015-07-01,BA,0.0393
2015-07-01,PFE,0.0755
2015-07-01,JNJ,0.0282
2015-07-01,MMM,-0.0192
2015-07-01,MRK,0.0357
2015-07-01,DIS,0.0571
2015-07-01,MCD,0.0504
2015-07-01,JPM,0.0179
2015-07-01,WMT,0.0148
2015-07-01,NKE,0.0667
2015-07-01,AXP,-0.0214
2015-07-01,INTC,-0.0482
2015-07-01,TRV,0.0979
2015-07-01,VZ,0.0157
2015-07-01,HD,0.0531
2015-07-01,CSCO,0.0426
2015-07-01,GS,-0.0178
2015-07-01,V,0.122
2015-07-01,UNH,-0.0049
2015-08-01,MSFT,-0.0615
2015-08-01,KO,-0.0428
2015-08-01,XOM,-0.0409
2015-08-01,IBM,-0.079
2015-08-01,CVX,-0.0726
2015-08-01,AAPL,-0.0661
2015-08-01,UTX,-0.0804
2015-08-01,PG,-0.0786
2015-08-01,DOW,-0.0701
2015-08-01,CAT,-0.0279
2015-08-01,WBA,-0.1006
2015-08-01,BA,-0.0873
2015-08-01,PFE,-0.0987
2015-08-01,JNJ,-0.0547
2015-08-01,MMM,-0.054
2015-08-01,MRK,-0.0867
2015-08-01,DIS,-0.151
2015-08-01,MCD,-0.04
2015-08-01,JPM,-0.0646
2015-08-01,WMT,-0.0939
2015-08-01,NKE,-0.0301
2015-08-01,AXP,0.0087
2015-08-01,INTC,-0.0059
2015-08-01,TRV,-0.0619
2015-08-01,VZ,-0.0167
2015-08-01,HD,-0.0049
2015-08-01,CSCO,-0.0894
2015-08-01,GS,-0.0771
2015-08-01,V,-0.052
2015-08-01,UNH,-0.047
2015-09-01,MSFT,0.017
2015-09-01,KO,0.0287
2015-09-01,XOM,-0.0118
2015-09-01,IBM,-0.0197
2015-09-01,CVX,-0.0261
2015-09-01,AAPL,-0.0218
2015-09-01,UTX,-0.0286
2015-09-01,PG,0.018
2015-09-01,DOW,-0.0215
2015-09-01,CAT,-0.1449
2015-09-01,WBA,-0.0399
2015-09-01,BA,0.0021
2015-09-01,PFE,-0.0251
2015-09-01,JNJ,-0.0067
2015-09-01,MMM,-0.0026
2015-09-01,MRK,-0.0745
2015-09-01,DIS,0.0031
2015-09-01,MCD,0.0369
2015-09-01,JPM,-0.0488
2015-09-01,WMT,0.0017
2015-09-01,NKE,0.1029
2015-09-01,AXP,-0.0338
2015-09-01,INTC,0.0561
2015-09-01,TRV,0.0059
2015-09-01,VZ,-0.0543
2015-09-01,HD,-0.0033
2015-09-01,CSCO,0.0143
2015-09-01,GS,-0.0787
2015-09-01,V,-0.023
2015-09-01,UNH,0.007
2015-10-01,MSFT,0.1893
2015-10-01,KO,0.0556
2015-10-01,XOM,0.1128
2015-10-01,IBM,-0.0337
2015-10-01,CVX,0.1521
2015-10-01,AAPL,0.0834
2015-10-01,UTX,0.1059
2015-10-01,PG,0.0709
2015-10-01,DOW,0.2186
2015-10-01,CAT,0.1285
